date,Custom Index
2016-09-08,70.49194
2016-09-09,68.58499
2016-09-12,69.68479
2016-09-13,68.57109
2016-09-14,68.37725
2016-09-15,68.977806
2016-09-16,68.76213
2016-09-19,68.84299
2016-09-20,68.7271
2016-09-21,69.45873
2016-09-22,69.90124
2016-09-23,69.64493
2016-09-26,69.11315
2016-09-27,69.51328
2016-09-28,69.77463
2016-09-29,69.029015
2016-09-30,69.56082
2016-10-03,69.291824
2016-10-04,68.95298
2016-10-05,69.104515
2016-10-06,68.99127
2016-10-07,68.58296
2016-10-10,68.90315
2016-10-11,68.02208
2016-10-12,68.17144
2016-10-13,68.00474
2016-10-14,67.9943
2016-10-17,67.824524
2016-10-18,68.24284
2016-10-19,68.41819
2016-10-20,68.501465
2016-10-21,68.598595
2016-10-24,68.876434
2016-10-25,68.31089
2016-10-26,68.200455
2016-10-27,67.9914
2016-10-28,68.18818
2016-10-31,68.45379
2016-11-01,67.50158
2016-11-02,66.965965
2016-11-03,66.68308
2016-11-04,66.65663
2016-11-07,68.0818
2016-11-08,68.170784
2016-11-09,68.965385
2016-11-10,69.240944
2016-11-11,69.347404
2016-11-14,69.55623
2016-11-15,69.988655
2016-11-16,69.83686
2016-11-17,70.18427
2016-11-18,69.96298
2016-11-21,70.40074
2016-11-22,70.71647
2016-11-23,70.880005
2016-11-25,71.217125
2016-11-28,70.757965
2016-11-29,70.83331
2016-11-30,70.373314
2016-12-01,70.033875
2016-12-02,70.233696
2016-12-05,70.6882
2016-12-06,71.11059
2016-12-07,72.04698
2016-12-08,72.16558
2016-12-09,72.314255
2016-12-12,72.07861
2016-12-13,72.4708
2016-12-14,71.54183
2016-12-15,71.69808
2016-12-16,71.67287
2016-12-19,71.83362
2016-12-20,72.2203
2016-12-21,72.023544
2016-12-22,71.66254
2016-12-23,71.77292
2016-12-27,71.97557
2016-12-28,71.39314
2016-12-29,71.41813
2016-12-30,71.13666
2017-01-03,71.51473
2017-01-04,71.96676
2017-01-05,71.82337
2017-01-06,71.91253
